None,blackscholes,0.663,0.653,0.009
None,canneal,7.246,7.087,0.126
None,dedup,18.621,22.111,3.159
None,ferret,4.921,9.192,0.081
None,freqmine,4.895,4.752,0.119
None,radix,43.397,40.952,2.398
None,vips,84.882,85.037,1.618
cpu,blackscholes,0.849,0.83,0.007
cpu,canneal,8.05,7.731,0.151
cpu,dedup,30.899,26.896,4.016
cpu,ferret,8.421,8.551,0.075
cpu,freqmine,9.899,4.994,0.107
cpu,radix,45.393,41.551,3.034
cpu,vips,142.801,139.223,1.934
l1d,blackscholes,0.818,0.788,0.01
l1d,canneal,8.385,8.047,0.205
l1d,dedup,24.146,26.153,4.767
l1d,ferret,5.781,9.711,0.361
l1d,freqmine,5.897,5.197,0.16
l1d,radix,47.486,43.508,3.279
l1d,vips,139.665,139.154,1.89
l1i,blackscholes,1.032,0.995,0.01
l1i,canneal,9.815,9.422,0.209
l1i,dedup,37.894,33.651,4.018
l1i,ferret,10.401,10.388,0.107
l1i,freqmine,10.014,5.056,0.131
l1i,radix,48.29,44.092,3.356
l1i,vips,153.155,149.22,2.198
l2,blackscholes,0.832,0.811,0.011
l2,canneal,8.854,8.546,0.214
l2,dedup,25.179,26.877,4.813
l2,ferret,5.876,9.846,0.24
l2,freqmine,5.928,5.264,0.147
l2,radix,47.423,43.86,3.235
l2,vips,140.395,139.873,1.89
llc,blackscholes,0.944,0.91,0.019
llc,canneal,15.643,14.915,0.387
llc,dedup,41.363,35.433,5.255
llc,ferret,11.944,11.765,0.142
llc,freqmine,9.365,8.863,0.25
llc,radix,73.125,66.208,5.307
llc,vips,159.756,154.203,3.441
membw,blackscholes,0.892,0.861,0.01
membw,canneal,10.128,9.739,0.241
membw,dedup,30.951,26.863,3.896
membw,ferret,9.2,9.218,0.089
membw,freqmine,7.743,7.494,0.144
membw,radix,47.849,43.767,3.304
membw,vips,138.962,135.286,2.206
